Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,19,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,4,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,2,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,748,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,62,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,35,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,5,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,3,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,534,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,39,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,22,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,6,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,5,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,835,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,88,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,54,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,14,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,5,5
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,582,1
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,40,2
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,24,3
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,13,4
2021-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,6,5
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,830,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,48,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,26,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,7,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,467,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,53,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,18,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,438,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,42,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,12,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,514,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,43,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,18,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,5,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1,5
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,419,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,48,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,22,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,4,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,3,5
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,473,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,66,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,36,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,659,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,47,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,26,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,5,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1,5
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,512,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,53,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,27,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,6,4
